;26;29;31;33;35;43;ano
1;7.565.514.650.852.450;13.346.077.944.825.900;1.151.612.368.045.520;12.483.919.701.397.600;3.443.549.856.885.670;13.393.207.616.648.100;1996
2;10.777.982.586.300.400;11.135.543.918.112.800;6.464.851.739.167.300;2.351.739.910.988.750;5.778.038.345.391.440;12.458.876.847.857.000;1996
3;17.826.470.833.710.600;12.567.863.909.074.800;1.257.542.461.839.540;16.556.725.240.009.500;3.347.731.432.783.860;13.647.623.900.937.900;1996
4;18.476.233.467.365.400;8.985.786.176.673.350;6.763.536.978.706.830;22.698.423.882.660.000;3.056.522.214.943.470;13.754.303.309.040.000;1996
5;10.573.847.389.919.800;11.810.324.354.344.400;7.446.322.867.857.370;22.945.777.509.491.300;629.460.735.689.949;14.707.559.205.030.900;1996
6;13.355.383.782.916.300;15.323.348.049.031.200;8.597.590.066.931.050;2.148.014.835.781.320;5.616.163.516.635.380;109.217.359.561.868;1996
7;12.451.871.537.011.400;17.773.787.273.165.900;6.172.606.356.552.270;2.742.840.225.224.550;5.764.278.243.459.370;1.292.372.867.395.390;1996
8;16.132.267.300.847.100;18.580.055.251.380.200;7.135.184.780.731.460;31.758.133.856.970.700;48.414.427.872.250.900;1.186.190.451.694.490;1996
9;14.441.220.727.465.300;18.107.302.771.537.500;611.971.969.811.163;26.208.569.584.036.800;4.114.946.749.870.000;18.152.440.468.031.000;1996
10;16.739.946.505.157.700;14.174.347.231.996.600;88.428.981.042.972;2.946.902.875.876.960;292.584.037.160.557;16.531.189.602.548.900;1996
11;136.024.716.792.732;2.520.949.234.135.860;9.259.432.233.169.000;26.599.743.097.617.300;6.762.472.828.775.310;14.200.417.982.219.300;1996
12;1.419.618.253.274.870;1.328.544.684.480.900;7.855.782.500.886.140;26.424.142.422.732.700;6.405.736.083.159.660;1.270.974.841.127.870;1996
