id	26	29	31	33	35	43	ano	mu	ln	mu20	mu40	mu60	mu80
1	189,4876973	198,2126213	137,984197	304,5343753	154,4471725	159,9932223	1995	190,7765	5,251102586	2,944438979	3,63758616	4,060443011	4,343805422
2	100,3492042	300,1800734	127,2879608	291,1267138	121,6373836	78,91247439	1995	169,9156	5,135301843	2,708050201	3,401197382	3,80666249	4,094344562
3	144,0371344	321,0753724	70,0992197	313,9042286	65,33382666	185,9071347	1995	183,3928	5,211630301	2,890371758	3,583518938	4,007333185	4,290459441
4	93,94955911	394,3498101	84,68626895	296,4437349	51,31366362	155,8615303	1995	179,434	5,189807452	2,833213344	3,555348061	3,970291914	4,262679877
5	169,2164468	320,3009867	25,35976983	401,1705523	48,68318435	70,42935135	1995	172,5267	5,150552007	2,708050201	3,433987204	3,828641396	4,127134385
6	169,6666525	297,7129683	74,77355839	385,4092829	96,24321392	126,9023834	1995	191,7846	5,256372867	2,944438979	3,663561646	4,060443011	4,356708827
7	151,9863334	288,5209183	96,35589969	386,6473406	101,4446688	100,7771253	1995	187,622	5,2344293	2,944438979	3,63758616	4,043051268	4,33073334
8	124,4221047	246,7886851	147,8169245	391,3494749	93,7185713	112,4052386	1995	186,0834	5,22619496	2,890371758	3,610917913	4,025351691	4,317488114
9	161,0105088	264,9275941	137,3512927	277,1692894	69,70761724	120,4671786	1995	171,7722	5,14616918	2,708050201	3,401197382	3,828641396	4,110873864
10	147,1949795	279,5742706	92,98271157	158,7700858	71,79497293	131,1644308	1995	146,9135	4,989843978	2,48490665	3,17805383	3,610917913	3,891820298
11	103,1834332	321,6797365	72,86487917	104,0696121	61,49387807	185,6357066	1995	141,4878	4,952213494	2,397895273	3,091042453	3,526360525	3,80666249
12	71,92709476	212,7314969	115,2597763	119,7558081	44,61521019	148,0716906	1995	118,7268	4,776825055	1,386294361	2,079441542	2,48490665	2,772588722
13	75,65514651	133,4607794	115,1612368	124,839197	34,43549857	133,9320762	1996	102,9139	4,633892716	0,693147181	1,609437912	2,079441542	2,397895273
14	107,7798259	111,3554392	64,64851739	235,1739911	57,78038345	124,5887685	1996	116,8878	4,7612145	1,098612289	1,945910149	2,397895273	2,708050201
15	178,2647083	125,6786391	125,7542462	165,5672524	33,47731433	136,476239	1996	127,5363	4,84840103	2,079441542	2,772588722	3,218875825	3,496507561
